city,location,price,area_sqft,bhk,furnishing,property_age,parking,lift,balcony
Ahmedabad,,2821533,489,1,,,0,1,0
Ahmedabad,Satellite,2900112,499,1,Fully Furnished,2,0,0,0
Ahmedabad,Bopal,3262895,567,1,Fully Furnished,1,0,1,1
Ahmedabad,Satellite,5531610,963,2,,,1,0,1
Ahmedabad,Vastrapur,6607744,1122,3,Semi-Furnished,10,1,1,1
Ahmedabad,Vastrapur,3372424,,1,,,1,0,1
Ahmedabad,Gota,7678452,1321,3,,5,1,1,1
Ahmedabad,,7866132,1367,3,,10,1,1,0
Ahmedabad,,8413604,,3,,2,1,1,0
Ahmedabad,Vastrapur,5517024,,2,,,0,0,1
Ahmedabad,,4637874,791,2,Unfurnished,,0,0,0
Ahmedabad,Vastrapur,6216277,1097,2,Unfurnished,5,1,1,1
Ahmedabad,Maninagar,5902494,1004,2,Semi-Furnished,2,1,1,0
Ahmedabad,,3129434,540,1,Unfurnished,,1,0,0
Ahmedabad,Maninagar,3898221,679,1,,,1,0,1
Ahmedabad,,8310669,1440,3,Unfurnished,5,1,1,0
Ahmedabad,Maninagar,3927063,672,1,Fully Furnished,,1,0,1
Ahmedabad,Gota,3219191,557,1,,,0,0,1
Ahmedabad,,9096254,1605,3,,10,1,0,0
Ahmedabad,,4681291,,2,,,0,1,0
Ahmedabad,,3974432,671,1,,,1,1,0
Ahmedabad,,4326251,732,2,,10,0,1,0
Ahmedabad,,4092039,,2,Fully Furnished,2,1,1,0
Ahmedabad,Maninagar,4061874,701,2,,10,1,1,1
Ahmedabad,Satellite,3159184,,1,,10,0,1,1
Ahmedabad,,6572501,1107,3,,,0,0,1
Ahmedabad,,5459327,963,2,Fully Furnished,,1,0,0
Ahmedabad,Maninagar,3590688,609,1,Fully Furnished,,1,0,1
Ahmedabad,Satellite,3351014,568,1,Fully Furnished,5,0,0,1
Ahmedabad,Satellite,6581335,1110,3,Unfurnished,5,0,1,1
Ahmedabad,Gota,3102692,535,1,,,1,1,0
Ahmedabad,Satellite,6822837,1189,3,Fully Furnished,5,0,0,0
Ahmedabad,Vastrapur,4718816,,2,,2,0,0,1
Ahmedabad,Maninagar,10077941,1739,3,Semi-Furnished,,1,0,1
Ahmedabad,Maninagar,5127081,882,2,Semi-Furnished,5,0,1,1
Ahmedabad,Maninagar,3788569,,1,,5,1,1,0
Ahmedabad,,3629407,,1,,,0,1,0
Ahmedabad,,4397077,767,2,,2,0,0,0
Ahmedabad,Vastrapur,2767837,466,1,Semi-Furnished,10,1,1,0
Ahmedabad,Satellite,2916931,512,1,,1,1,0,1
Ahmedabad,Maninagar,3383223,587,1,Fully Furnished,10,1,0,0
Ahmedabad,Maninagar,2895190,,1,Unfurnished,,0,0,0
Ahmedabad,Gota,5086507,891,2,Unfurnished,,0,0,0
Ahmedabad,,6113470,1034,2,Fully Furnished,1,1,0,1
Ahmedabad,,6715357,,2,Semi-Furnished,,1,0,0
Ahmedabad,,4890267,832,2,,5,0,0,0
Ahmedabad,Maninagar,6694011,1141,2,Unfurnished,1,1,0,1
Ahmedabad,,5508392,970,2,Semi-Furnished,,1,0,0
